"Referência","Quantidade de famílias em situação de extrema pobreza inscritas no Cadastro Único","Quantidade de famílias em situação de pobreza inscritas no Cadastro Único","Quantidade de famílias com renda per capita mensal até meio salário-mínimo inscritas no Cadastro Único","Quantidade de famílias com renda per capita mensal acima de meio salário-mínimo*** inscritas no Cadastro Único"
"05/2012","","","","0"
"08/2012","12897221","5265743","22087075","2114756"
"09/2012","13006755","5278170","22299085","2189924"
"10/2012","13076366","5288902","22449045","2240638"
"11/2012","13131359","5298295","22576199","2286257"
"12/2012","13161099","5311337","22711589","2352213"
"01/2013","13175545","5315757","22918297","2253834"
"02/2013","13205720","5322337","23007791","2311937"
"03/2013","13212397","5302410","23035857","2349716"
"04/2013","13265523","5325286","23238356","2448912"
"05/2013","13282331","5336162","23308940","2491532"
"06/2013","13312303","5353799","23432453","2559241"
"07/2013","13348124","5366977","23576561","2651656"
"08/2013","13360189","5383191","23709658","2752035"
"09/2013","13379368","5389174","23826170","2840737"
"10/2013","13389641","5396698","23924352","2920315"
"11/2013","13395977","5398817","24019474","3018347"
"12/2013","13354834","5397222","24084668","3109920"
"01/2014","13359543","5395751","24340226","2953852"
"02/2014","13365297","5394947","24437475","3043292"
"03/2014","13362035","5391327","24554470","3153666"
"04/2014","13358999","5381709","24640692","3243644"
"05/2014","14036647","5311688","24695432","3322991"
"06/2014","14049523","5313985","24794350","3432738"
"07/2014","14073816","5316326","24880631","3519988"
"08/2014","14111822","5324903","25006542","3638069"
"09/2014","14079417","5312102","25008733","3717853"
"10/2014","14080860","5311130","25058257","3806741"
"11/2014","14097843","5317056","25131778","3880484"
"12/2014","14095333","5325302","25202296","3962150"
"01/2015","13146938","4395578","23089989","3570640"
"02/2015","13155194","4406186","23182416","3658096"
"03/2015","13149251","4423204","23282578","3754893"
"04/2015","13145749","4436369","23362648","3827005"
"05/2015","13148416","4434418","23455795","3912660"
"06/2015","13036672","4437139","23504436","4002316"
"07/2015","12509474","4169677","22559653","3923983"
"08/2015","12423826","4193171","22652539","4035374"
"09/2015","12362376","4219431","22726127","4124359"
"10/2015","12318684","4246444","22798822","4201926"
"11/2015","12316479","4260693","22874121","4276446"
"12/2015","12335278","4268713","22961293","4363776"
"01/2016","11827568","4057645","22390351","3755252"
"02/2016","11898567","4053232","22481781","3813343"
"03/2016","12003677","4045843","22619963","3884896"
"04/2016","12133508","4036963","22790112","3962003"
"05/2016","12236939","4036194","22933787","4024167"
"06/2016","12707404","4152311","23038996","4121012"
"07/2016","12750064","4148778","23174691","4217645"
"08/2016","12288703","4049454","23268230","4308797"
